[Spectrum]
Version = 1
IDData = Oscar_B046_2017-03-24_14-29-51_RAW_Dark_015
IDDevice = Oscar_B046
DateTime = 2017-03-24 14:29:51
Comment = 
CommentSub1 = 
CommentSub2 = 
CommentSub3 = 
IDDataType = SPECTRUM
IDDataTypeSub1 = RAW
IDDataTypeSub2 = DARK
Mission = 1 ; 12.0534 ;  ; 
[Attributes]
SpectrumType = RAW_Dark
Averaging = 1
CalFactor = 0
FlashCount = 1
IntegrationTime = 1024
PathLength = 1000
Temperature = 25.75
lampLEDs = 0
tempLampModule = 25.75
tempSpectrometer = 26.9375
tempMainCPU = 28.5625
Deviation = 12.0534
Maximum = 1262
RAWDynamic = 65535
1139.12 1242 0 0
1142.37 1243 0 0
1145.61 1257 0 0
1148.85 1247 0 0
1152.09 1238 0 0
1155.32 1246 0 0
1158.56 1259 0 0
[END] of [DATA]
[END] of [Spectrum]

[Spectrum]
Version = 1
IDData = Oscar_B046_2017-03-24_14-30-23_RAW_Dark_615
IDDevice = Oscar_B046
DateTime = 2017-03-24 14:30:23
Comment = 
CommentSub1 = 
CommentSub2 = 
CommentSub3 = 
IDDataType = SPECTRUM
IDDataTypeSub1 = RAW
IDDataTypeSub2 = DARK
Mission = 1 ; 9.0894 ;  ; 
[Attributes]
SpectrumType = RAW_Dark
Averaging = 1
CalFactor = 0
FlashCount = 1
IntegrationTime = 1024
PathLength = 1000
Temperature = 26.625
lampLEDs = 0
tempLampModule = 26.625
tempSpectrometer = 27.0625
tempMainCPU = 28.6875
Deviation = 9.0894
Maximum = 1265
RAWDynamic = 65535
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status
[END] of [Attributes]
[DATA]
0 9 0 0
306.481 1250 0 0
309.843 1233 0 0
313.205 1239 0 0
316.569 1251 0 0
319.934 1251 0 0
323.299 1238 0 0
326.665 1237 0 0
330.032 1252 0 0
333.4 1242 0 0
336.768 1239 0 0
340.137 1244 0 0
343.507 1248 0 0
346.877 1247 0 0
350.249 1241 0 0
353.621 1249 0 0
356.993 1245 0 0
360.367 1234 0 0
363.741 1236 0 0
367.115 1239 0 0
370.491 1221 0 0
373.867 1226 0 0
377.243 1236 0 0
380.621 1249 0 0
383.998 1240 0 0
387.377 1238 0 0
390.756 1248 0 0
394.135 1238 0 0
397.516 1227 0 0
400.896 1234 0 0
404.278 1238 0 0
407.659 1229 0 0
411.042 1235 0 0
414.424 1246 0 0
417.808 1240 0 0
421.192 1236 0 0
424.576 1250 0 0
427.961 1244 0 0
431.346 1235 0 0
434.731 1242 0 0
438.118 1239 0 0
441.504 1227 0 0
444.891 1227 0 0
448.278 1244 0 0
451.666 1231 0 0
455.054 1228 0 0
458.443 1233 0 0
461.832 1235 0 0
465.221 1226 0 0
468.61 1240 0 0
472 1248 0 0
475.39 1240 0 0
478.781 1242 0 0
482.172 1251 0 0
485.563 1247 0 0
488.954 1240 0 0
492.346 1253 0 0
495.738 1257 0 0
499.13 1244 0 0
502.522 1248 0 0
505.915 1256 0 0
509.308 1242 0 0
512.701 1236 0 0
516.094 1252 0 0
519.488 1247 0 0
522.881 1240 0 0
526.275 1238 0 0
529.669 1249 0 0
533.063 1233 0 0
536.457 1238 0 0
539.851 1252 0 0
543.246 1237 0 0
546.64 1235 0 0
550.035 1247 0 0
553.43 1236 0 0
556.824 1234 0 0
560.219 1244 0 0
563.614 1246 0 0
567.009 1239 0 0
570.404 1242 0 0
573.799 1247 0 0
577.194 1238 0 0
580.589 1237 0 0
583.984 1252 0 0
587.379 1245 0 0
590.773 1239 0 0
594.168 1249 0 0
597.563 1248 0 0
600.958 1239 0 0
604.352 1252 0 0
607.747 1250 0 0
611.141 1244 0 0
614.536 1249 0 0
617.93 1257 0 0
621.324 1250 0 0
624.718 1240 0 0
628.111 1259 0 0
631.505 1253 0 0
634.898 1253 0 0
638.292 1253 0 0
641.685 1261 0 0
645.078 1248 0 0
648.47 1247 0 0
651.863 1258 0 0
655.255 1253 0 0
658.647 1253 0 0
662.038 1259 0 0
665.43 1258 0 0
668.821 1250 0 0
672.211 1250 0 0
675.602 1262 0 0
678.992 1246 0 0
682.382 1253 0 0
685.772 1259 0 0
689.161 1256 0 0
692.55 1244 0 0
695.938 1260 0 0
699.326 1254 0 0
702.714 1252 0 0
706.101 1252 0 0
709.488 1263 0 0
712.875 1250 0 0
716.261 1252 0 0
719.646 1259 0 0
723.031 1253 0 0
726.416 1251 0 0
729.8 1250 0 0
733.184 1254 0 0
736.567 1243 0 0
739.95 1254 0 0
743.332 1261 0 0
746.714 1253 0 0
750.095 1253 0 0
753.476 1258 0 0
756.856 1255 0 0
760.235 1248 0 0
763.614 1248 0 0
766.993 1255 0 0
770.371 1250 0 0
773.748 1251 0 0
777.124 1257 0 0
780.5 1259 0 0
783.876 1251 0 0
787.25 1255 0 0
790.624 1264 0 0
793.997 1246 0 0
797.37 1250 0 0
800.742 1263 0 0
804.113 1250 0 0
807.484 1242 0 0
810.853 1251 0 0
814.222 1258 0 0
817.591 1253 0 0
820.958 1244 0 0
824.325 1262 0 0
827.691 1253 0 0
831.056 1246 0 0
834.421 1258 0 0
837.784 1261 0 0
841.147 1245 0 0
844.509 1251 0 0
847.87 1260 0 0
851.231 1250 0 0
854.59 1248 0 0
857.949 1257 0 0
861.306 1250 0 0
864.663 1246 0 0
868.019 1256 0 0
871.374 1256 0 0
874.728 1244 0 0
878.081 1249 0 0
881.433 1263 0 0
884.784 1250 0 0
888.135 1252 0 0
891.484 1254 0 0
894.832 1258 0 0
898.179 1244 0 0
901.526 1247 0 0
904.871 1265 0 0
908.215 1243 0 0
911.558 1244 0 0
914.9 1261 0 0
918.241 1253 0 0
921.581 1245 0 0
924.92 1252 0 0
928.258 1259 0 0
931.595 1247 0 0
934.93 1249 0 0
938.265 1254 0 0
941.598 1252 0 0
944.93 1241 0 0
948.261 1251 0 0
951.591 1251 0 0
954.92 1247 0 0
958.247 1251 0 0
961.574 1253 0 0
964.899 1252 0 0
968.223 1246 0 0
971.545 1257 0 0
974.867 1259 0 0
978.187 1249 0 0
981.506 1248 0 0
984.823 1261 0 0
988.14 1245 0 0
991.455 1243 0 0
994.768 1255 0 0
998.081 1250 0 0
1001.39 1246 0 0
1004.7 1250 0 0
1008.01 1256 0 0
1011.32 1247 0 0
1014.62 1251 0 0
1017.93 1259 0 0
1021.23 1248 0 0
1024.53 1246 0 0
1027.83 1250 0 0
1031.13 1256 0 0
1034.43 1243 0 0
1037.72 1246 0 0
1041.02 1258 0 0
1044.31 1246 0 0
1047.6 1246 0 0
1050.89 1254 0 0
1054.18 1248 0 0
1057.47 1245 0 0
1060.75 1248 0 0
1064.04 1259 0 0
1067.32 1244 0 0
1070.6 1248 0 0
1073.88 1260 0 0
1077.16 1252 0 0
1080.43 1233 0 0
1083.71 1250 0 0
1086.98 1257 0 0
1090.25 1246 0 0
1093.52 1249 0 0
1096.79 1256 0 0
1100.06 1247 0 0
1103.32 1249 0 0
1106.58 1256 0 0
1109.85 1251 0 0
1113.11 1244 0 0
1116.36 1243 0 0
1119.62 1256 0 0
1122.87 1242 0 0
1126.13 1247 0 0
1129.38 1253 0 0
1132.63 1252 0 0
1135.88 1238 0 0
1139.12 1258 0 0
1142.37 1249 0 0
1145.61 1245 0 0
1148.85 1248 0 0
1152.09 1253 0 0
1155.32 1240 0 0
1158.56 1254 0 0
[END] of [DATA]
[END] of [Spectrum]

[Spectrum]
Version = 1
IDData = Oscar_B046_2017-03-24_14-33-55_RAW_Dark_240
IDDevice = Oscar_B046
DateTime = 2017-03-24 14:33:55
Comment = 
CommentSub1 = 
CommentSub2 = 
CommentSub3 = 
IDDataType = SPECTRUM
IDDataTypeSub1 = RAW
IDDataTypeSub2 = DARK
Mission = 1 ; 10.7629 ;  ; 
[Attributes]
SpectrumType = RAW_Dark
Averaging = 1
CalFactor = 0
FlashCount = 1
IntegrationTime = 2048
PathLength = 1000
Temperature = 26.8125
lampLEDs = 0
