[Spectrum]
Version = 1
IDData = Oscar_B046_2017-03-24_14-29-51_RAW_Light_795
IDDevice = Oscar_B046
DateTime = 2017-03-24 14:29:51
Comment = 
CommentSub1 = 
CommentSub2 = 
CommentSub3 = 
IDDataType = SPECTRUM
IDDataTypeSub1 = RAW
IDDataTypeSub2 = LIGHT
Mission = 1 ; 13793 ;  ; 
[Attributes]
SpectrumType = RAW_Light
Averaging = 1
CalFactor = 0
FlashCount = 1
IntegrationTime = 1024
PathLength = 1000
Temperature = 25.25
lampLEDs = 255
tempLampModule = 25.25
tempSpectrometer = 26.6875
tempMainCPU = 28.3125
Deviation = 13793
Maximum = 37804
RAWDynamic = 65535
Mission = 1 ; 13841.8 ;  ; 
[Attributes]
SpectrumType = RAW_Light
Averaging = 1
CalFactor = 0
FlashCount = 1
IntegrationTime = 1024
PathLength = 1000
Temperature = 26.4375
lampLEDs = 255
tempLampModule = 26.4375
tempSpectrometer = 27
tempMainCPU = 28.6875
Deviation = 13841.8
Maximum = 38110
RAWDynamic = 65535
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status
[END] of [Attributes]
[DATA]
0 9 0 0
306.481 1366 0 0
309.843 1373 0 0
313.205 1384 0 0
316.569 1401 0 0
319.934 1414 0 0
323.299 1442 0 0
326.665 1434 0 0
330.032 1455 0 0
333.4 1479 0 0
336.768 1489 0 0
340.137 1499 0 0
343.507 1516 0 0
346.877 1545 0 0
350.249 1562 0 0
353.621 1599 0 0
356.993 1690 0 0
360.367 2037 0 0
363.741 3660 0 0
367.115 9702 0 0
370.491 22747 0 0
373.867 35197 0 0
377.243 36032 0 0
380.621 26285 0 0
383.998 16155 0 0
387.377 10110 0 0
390.756 7850 0 0
394.135 8577 0 0
397.516 11749 0 0
400.896 17120 0 0
404.278 23391 0 0
407.659 27586 0 0
411.042 27355 0 0
414.424 23469 0 0
417.808 18720 0 0
421.192 15054 0 0
424.576 12932 0 0
427.961 12355 0 0
431.346 13261 0 0
434.731 15769 0 0
438.118 20048 0 0
441.504 25636 0 0
444.891 30706 0 0
448.278 33240 0 0
451.666 33274 0 0
455.054 33210 0 0
458.443 34994 0 0
461.832 37529 0 0
465.221 38110 0 0
468.61 35620 0 0
472 31297 0 0
475.39 26967 0 0
478.781 23349 0 0
482.172 20276 0 0
485.563 17545 0 0
488.954 15285 0 0
492.346 13697 0 0
495.738 12855 0 0
499.13 12598 0 0
502.522 12795 0 0
505.915 13349 0 0
509.308 14224 0 0
512.701 15323 0 0
516.094 16643 0 0
519.488 18142 0 0
522.881 19730 0 0
526.275 21363 0 0
529.669 23063 0 0
533.063 24738 0 0
536.457 26330 0 0
539.851 27851 0 0
543.246 29196 0 0
546.64 30348 0 0
550.035 31314 0 0
553.43 32109 0 0
556.824 32737 0 0
560.219 33198 0 0
563.614 33480 0 0
567.009 33524 0 0
570.404 33297 0 0
573.799 32743 0 0
577.194 31892 0 0
580.589 30798 0 0
583.984 29747 0 0
587.379 28729 0 0
590.773 27496 0 0
594.168 26067 0 0
597.563 24537 0 0
600.958 23024 0 0
604.352 21648 0 0
607.747 20527 0 0
611.141 19597 0 0
614.536 18735 0 0
617.93 17962 0 0
621.324 17237 0 0
624.718 16506 0 0
628.111 15817 0 0
631.505 15095 0 0
634.898 14279 0 0
638.292 13386 0 0
641.685 12447 0 0
645.078 11454 0 0
648.47 10435 0 0
651.863 9442 0 0
655.255 8577 0 0
658.647 7804 0 0
662.038 7153 0 0
665.43 6606 0 0
668.821 6118 0 0
672.211 5681 0 0
675.602 5303 0 0
678.992 4970 0 0
682.382 4650 0 0
685.772 4363 0 0
689.161 4098 0 0
692.55 3803 0 0
695.938 3551 0 0
699.326 3304 0 0
702.714 3056 0 0
706.101 2822 0 0
709.488 2622 0 0
712.875 2431 0 0
716.261 2245 0 0
719.646 2095 0 0
723.031 1965 0 0
726.416 1836 0 0
729.8 1732 0 0
733.184 1650 0 0
736.567 1589 0 0
739.95 1539 0 0
743.332 1510 0 0
746.714 1492 0 0
750.095 1464 0 0
753.476 1442 0 0
756.856 1439 0 0
760.235 1415 0 0
763.614 1394 0 0
766.993 1393 0 0
770.371 1382 0 0
773.748 1371 0 0
777.124 1359 0 0
780.5 1364 0 0
783.876 1348 0 0
787.25 1338 0 0
790.624 1333 0 0
793.997 1339 0 0
797.37 1318 0 0
800.742 1322 0 0
804.113 1322 0 0
807.484 1302 0 0
810.853 1303 0 0
814.222 1305 0 0
817.591 1296 0 0
820.958 1282 0 0
824.325 1281 0 0
827.691 1285 0 0
831.056 1272 0 0
834.421 1273 0 0
837.784 1285 0 0
841.147 1269 0 0
844.509 1259 0 0
847.87 1268 0 0
851.231 1270 0 0
854.59 1255 0 0
857.949 1262 0 0
861.306 1270 0 0
864.663 1260 0 0
868.019 1255 0 0
871.374 1261 0 0
874.728 1263 0 0
878.081 1255 0 0
881.433 1256 0 0
884.784 1268 0 0
888.135 1257 0 0
891.484 1251 0 0
894.832 1265 0 0
898.179 1259 0 0
901.526 1254 0 0
904.871 1260 0 0
908.215 1265 0 0
911.558 1252 0 0
914.9 1254 0 0
918.241 1262 0 0
921.581 1261 0 0
924.92 1247 0 0
928.258 1260 0 0
931.595 1260 0 0
934.93 1252 0 0
938.265 1251 0 0
941.598 1262 0 0
944.93 1252 0 0
948.261 1252 0 0
951.591 1255 0 0
954.92 1261 0 0
958.247 1251 0 0
961.574 1255 0 0
964.899 1262 0 0
968.223 1246 0 0
971.545 1255 0 0
974.867 1262 0 0
978.187 1254 0 0
981.506 1251 0 0
984.823 1254 0 0
988.14 1262 0 0
991.455 1250 0 0
994.768 1246 0 0
998.081 1262 0 0
1001.39 1255 0 0
1004.7 1253 0 0
1008.01 1255 0 0
1011.32 1258 0 0
1014.62 1250 0 0
1017.93 1255 0 0
1021.23 1262 0 0
1024.53 1248 0 0
1027.83 1247 0 0
1031.13 1257 0 0
1034.43 1256 0 0
1037.72 1245 0 0
1041.02 1255 0 0
1044.31 1256 0 0
1047.6 1253 0 0
1050.89 1245 0 0
1054.18 1257 0 0
1057.47 1255 0 0
1060.75 1248 0 0
1064.04 1250 0 0
1067.32 1253 0 0
1070.6 1244 0 0
1073.88 1246 0 0
1077.16 1260 0 0
1080.43 1243 0 0
1083.71 1247 0 0
1086.98 1261 0 0
1090.25 1250 0 0
1093.52 1251 0 0
1096.79 1251 0 0
1100.06 1254 0 0
1103.32 1250 0 0
1106.58 1249 0 0
1109.85 1255 0 0
1113.11 1248 0 0
1116.36 1240 0 0
1119.62 1255 0 0
1122.87 1252 0 0
1126.13 1241 0 0
1129.38 1251 0 0
1132.63 1262 0 0
1135.88 1239 0 0
1139.12 1247 0 0
1142.37 1254 0 0
1145.61 1253 0 0
1148.85 1242 0 0
1152.09 1249 0 0
1155.32 1250 0 0
1158.56 1249 0 0
[END] of [DATA]
[END] of [Spectrum]

[Spectrum]
Version = 1
IDData = Oscar_B046_2017-03-24_14-33-55_RAW_Light_724
IDDevice = Oscar_B046
DateTime = 2017-03-24 14:33:55
Comment = 
CommentSub1 = 
CommentSub2 = 
CommentSub3 = 
IDDataType = SPECTRUM
IDDataTypeSub1 = RAW
IDDataTypeSub2 = LIGHT
Mission = 1 ; 12590.5 ;  ; 
[Attributes]
SpectrumType = RAW_Light
Averaging = 1
CalFactor = 0
FlashCount = 1
IntegrationTime = 2048
PathLength = 1000
Temperature = 26.5
lampLEDs = 255
tempLampModule = 26.5
tempSpectrometer = 27.5625
tempMainCPU = 29
Deviation = 12590.5
Maximum = 33266
RAWDynamic = 65535
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $05 Intensity counts
Unit3 = $f0 $05 Error counts
Unit4 = $f1 $00 Status
[END] of [Attributes]
[DATA]
0 10 0 0
306.481 1756 0 0
309.843 1748 0 0
313.205 1756 0 0
316.569 1781 0 0
319.934 1798 0 0
323.299 1808 0 0
326.665 1808 0 0
330.032 1833 0 0
333.4 1840 0 0
336.768 1850 0 0
340.137 1867 0 0
343.507 1891 0 0
346.877 1904 0 0
350.249 1920 0 0
353.621 1965 0 0
356.993 2051 0 0
360.367 2360 0 0
363.741 3869 0 0
367.115 9405 0 0
370.491 21276 0 0
373.867 32547 0 0
377.243 33247 0 0
380.621 24375 0 0
383.998 15169 0 0
387.377 9710 0 0
390.756 7688 0 0
394.135 8375 0 0
397.516 11348 0 0
400.896 16364 0 0
404.278 22254 0 0
407.659 26191 0 0
411.042 26024 0 0
414.424 22418 0 0
417.808 17976 0 0
421.192 14534 0 0
424.576 12538 0 0
427.961 11949 0 0
431.346 12746 0 0
434.731 15021 0 0
438.118 18885 0 0
441.504 23866 0 0
444.891 28344 0 0
448.278 30461 0 0
451.666 30232 0 0
455.054 29888 0 0
458.443 31158 0 0
461.832 33074 0 0
465.221 33266 0 0
468.61 30848 0 0
472 26922 0 0
475.39 23033 0 0
478.781 19834 0 0
482.172 17136 0 0
485.563 14757 0 0
488.954 12813 0 0
492.346 11465 0 0
495.738 10702 0 0
499.13 10408 0 0
502.522 10486 0 0
505.915 10846 0 0
509.308 11415 0 0
512.701 12163 0 0
516.094 13075 0 0
519.488 14071 0 0
522.881 15121 0 0
526.275 16226 0 0
529.669 17356 0 0
533.063 18453 0 0
536.457 19513 0 0
539.851 20530 0 0
543.246 21397 0 0
546.64 22153 0 0
550.035 22778 0 0
553.43 23242 0 0
556.824 23619 0 0
